"((24.18753858733997, 25.835559655538926, -1.6480210681989576), [[1.54965, 1.00561], [1.48534, 1.00465], [1.59875, 1.00992], [1.54457, 1.00776], [1.66578, 1.00854]])"
"((26.891976096682626, 29.123716687091093, -2.2317405904084673), [[1.61503, 1.00604], [1.51432, 1.00532], [1.61506, 1.01054], [1.53721, 1.00588], [1.58619, 1.00606]])"
"((30.099128005338017, 33.43223695859738, -3.3331089532593623), [[1.61503, 1.00604], [1.51432, 1.00532], [1.61506, 1.01054], [1.60414, 1.00668], [1.61727, 1.00636]])"
"((27.807682273402555, 30.309873404488343, -2.5021911310857874), [[1.61503, 1.00604], [1.49552, 1.00497], [1.61503, 1.01056], [1.54457, 1.00776], [1.56949, 1.00633]])"
"((27.831297768991817, 30.307889444283834, -2.476591675292017), [[1.61503, 1.00604], [1.49552, 1.00497], [1.61506, 1.01054], [1.54457, 1.00776], [1.56949, 1.00633]])"
"((40.171253946159595, 48.75994906920002, -8.588695123040424), [[1.61503, 1.00604], [1.50854, 1.00561], [1.5204, 1.00668], [1.8365, 1.01938], [1.60954, 1.00649]])"
"((25.491613494669487, 27.270555859633728, -1.7789423649642409), [[1.61503, 1.00604], [1.50854, 1.00561], [1.61503, 1.01056], [1.49552, 1.00497], [1.56101, 1.00594]])"
"((25.51079216285649, 27.26900846783513, -1.7582163049786388), [[1.61503, 1.00604], [1.50854, 1.00561], [1.61506, 1.01054], [1.49552, 1.00497], [1.56101, 1.00594]])"
"((30.304326933337755, 33.62324415045353, -3.318917217115775), [[1.61503, 1.00604], [1.49867, 1.00593], [1.61503, 1.01056], [1.60954, 1.00649], [1.60414, 1.00668]])"
"((30.335045232160688, 33.62056083288148, -3.2855156007207924), [[1.61503, 1.00604], [1.49867, 1.00593], [1.61506, 1.01054], [1.60954, 1.00649], [1.60414, 1.00668]])"
"((26.686469045740253, 28.605274420436835, -1.918805374696582), [[1.61503, 1.00604], [1.51982, 1.00578], [1.61503, 1.01056], [1.49552, 1.00497], [1.56949, 1.00633]])"
"((29.50116216803858, 32.45340594856738, -2.9522437805288), [[1.61503, 1.00604], [1.50592, 1.00552], [1.61503, 1.01056], [1.58619, 1.00606], [1.60008, 1.00622]])"
"((29.52984512387809, 32.45094847925889, -2.921103355380801), [[1.61503, 1.00604], [1.50592, 1.00552], [1.61506, 1.01054], [1.58619, 1.00606], [1.60008, 1.00622]])"
"((28.67480079324553, 31.498818160644063, -2.8240173673985325), [[1.61503, 1.00604], [1.56949, 1.00633], [1.57723, 1.00902], [1.59875, 1.00992], [1.61727, 1.00636]])"
"((27.224499503931238, 29.340918174741223, -2.116418670809985), [[1.61503, 1.00604], [1.56575, 1.00649], [1.59875, 1.00992], [1.51982, 1.00578], [1.60008, 1.00622]])"
"((30.184293143063194, 34.34436134021502, -4.16006819715183), [[1.61503, 1.00604], [1.64792, 1.00881], [1.61503, 1.01056], [1.50854, 1.00561], [1.66578, 1.00854]])"
"((30.078332976973645, 33.249795045096896, -3.171462068123251), [[1.61503, 1.00604], [1.56101, 1.00594], [1.57723, 1.00902], [1.61503, 1.01056], [1.61727, 1.00636]])"
"((30.091344952530804, 33.248712147390044, -3.1573671948592406), [[1.61503, 1.00604], [1.56101, 1.00594], [1.57723, 1.00902], [1.61506, 1.01054], [1.61727, 1.00636]])"
"((24.796860651865053, 26.38744329182421, -1.5905826399591554), [[1.61503, 1.00604], [1.56101, 1.00594], [1.61503, 1.01056], [1.45446, 1.00345], [1.58619, 1.00606]])"
"((26.861804111738167, 28.98884808432864, -2.1270439725904744), [[1.61503, 1.00604], [1.56101, 1.00594], [1.61503, 1.01056], [1.49552, 1.00497], [1.60414, 1.00668]])"
"((24.815891022619656, 26.38592099704987, -1.5700299744302129), [[1.61503, 1.00604], [1.56101, 1.00594], [1.61506, 1.01054], [1.45446, 1.00345], [1.58619, 1.00606]])"
"((38.36479832832527, 45.72390466538823, -7.359106337062961), [[1.61503, 1.00604], [1.5204, 1.00668], [1.51432, 1.00532], [1.8365, 1.01938], [1.61727, 1.00636]])"
"((25.563891185374807, 27.197476150829655, -1.6335849654548475), [[1.61503, 1.00604], [1.5204, 1.00668], [1.59875, 1.00992], [1.51432, 1.00532], [1.56101, 1.00594]])"
"((44.647088975074396, 57.90799715478891, -13.260908179714512), [[1.61503, 1.00604], [1.54457, 1.00776], [1.53721, 1.00588], [1.8365, 1.01938], [1.66578, 1.00854]])"
"((24.712309481446642, 26.131454361392894, -1.419144879946252), [[1.61503, 1.00604], [1.54457, 1.00776], [1.57723, 1.00902], [1.49867, 1.00593], [1.54965, 1.00561]])"
"((24.819517120987047, 26.329303571757176, -1.5097864507701289), [[1.61503, 1.00604], [1.54457, 1.00776], [1.57723, 1.00902], [1.5204, 1.00668], [1.56101, 1.00594]])"
"((26.953710744574884, 29.376907135745345, -2.4231963911704604), [[1.61503, 1.00604], [1.61503, 1.01056], [1.5443, 1.00661], [1.59875, 1.00992], [1.61727, 1.00636]])"
"((26.968264615724053, 29.375725626590366, -2.4074610108663137), [[1.61503, 1.00604], [1.61506, 1.01054], [1.5443, 1.00661], [1.59875, 1.00992], [1.61727, 1.00636]])"
"((41.59468867105971, 72.78885200849821, -31.194163337438503), [[1.61503, 1.00604], [1.84255, 1.01434], [1.51432, 1.00532], [1.45446, 1.00345], [1.66578, 1.00854]])"
"((29.388784091342018, 36.87868958028823, -7.4899054889462136), [[1.61503, 1.00604], [1.79609, 1.01763], [1.45446, 1.00345], [1.49552, 1.00497], [1.60473, 1.00814]])"
"((24.998246010614505, 26.71170237460148, -1.7134563639869747), [[1.56949, 1.00633], [1.45446, 1.00345], [1.61503, 1.01056], [1.5204, 1.00668], [1.61727, 1.00636]])"
"((25.019212261179085, 26.710005308834912, -1.690793047655827), [[1.56949, 1.00633], [1.45446, 1.00345], [1.61506, 1.01054], [1.5204, 1.00668], [1.61727, 1.00636]])"
"((24.665651296958394, 26.525956884687634, -1.8603055877292398), [[1.56949, 1.00633], [1.5204, 1.00668], [1.61503, 1.01056], [1.51982, 1.00578], [1.66578, 1.00854]])"
"((668.3752558293962, -65.99563448942253, 734.3708903188187), [[1.66578, 1.00854], [1.45446, 1.00345], [1.79608, 1.01768], [1.50854, 1.00561], [1.61503, 1.01056]])"
"((372.3512394699371, -72.47940797072154, 444.83064744065865), [[1.66578, 1.00854], [1.45446, 1.00345], [1.79608, 1.01768], [1.50592, 1.00552], [1.61503, 1.01056]])"
"((369.1232110457539, -72.47099851152441, 441.5942095572783), [[1.66578, 1.00854], [1.45446, 1.00345], [1.79608, 1.01768], [1.50592, 1.00552], [1.61506, 1.01054]])"
"((53.125484061811335, 176.4499644385707, -123.32448037675937), [[1.5443, 1.00661], [1.79608, 1.01768], [1.51982, 1.00578], [1.60954, 1.00649], [1.79436, 1.01276]])"
"((25.565513968028405, 27.55672464620202, -1.9912106781736156), [[1.60414, 1.00668], [1.53721, 1.00588], [1.61503, 1.01056], [1.50854, 1.00561], [1.61503, 1.00604]])"
"((25.58735827178219, 27.554926782670666, -1.9675685108884764), [[1.60414, 1.00668], [1.53721, 1.00588], [1.61506, 1.01054], [1.50854, 1.00561], [1.61503, 1.00604]])"
"((24.223224635707954, 25.87249610857256, -1.649271472864605), [[1.60414, 1.00668], [1.60157, 1.00865], [1.59875, 1.00992], [1.45446, 1.00345], [1.61503, 1.00604]])"
"((25.535434743666453, 27.396969763392722, -1.8615350197262686), [[1.60414, 1.00668], [1.57631, 1.00683], [1.61506, 1.01054], [1.45446, 1.00345], [1.61503, 1.00604]])"
"((27.11110261460402, 29.458697414328626, -2.347594799724604), [[1.60414, 1.00668], [1.5443, 1.00661], [1.59875, 1.00992], [1.54457, 1.00776], [1.61727, 1.00636]])"
"((25.289549310455175, 27.07062677670025, -1.7810774662450761), [[1.60414, 1.00668], [1.54457, 1.00776], [1.59875, 1.00992], [1.50592, 1.00552], [1.60008, 1.00622]])"
"((26.243563582487596, 28.326928910374768, -2.083365327887172), [[1.60414, 1.00668], [1.59875, 1.00992], [1.54457, 1.00776], [1.57723, 1.00902], [1.61503, 1.00604]])"
"((35.96599014280578, 51.64039145705805, -15.674401314252272), [[1.60414, 1.00668], [1.79608, 1.01768], [1.45446, 1.00345], [1.58619, 1.00606], [1.66578, 1.00854]])"
"((35.97953657370577, 51.36637607351864, -15.386839499812865), [[1.60414, 1.00668], [1.79609, 1.01763], [1.45446, 1.00345], [1.58619, 1.00606], [1.66578, 1.00854]])"
"((207.99322398865561, -69.15991506087667, 277.15313904953234), [[1.60414, 1.00668], [1.79609, 1.01763], [1.64792, 1.00881], [1.5204, 1.00668], [1.79436, 1.01276]])"
"((29.56649216462931, 32.52407135670928, -2.9575791920799688), [[1.60954, 1.00649], [1.49867, 1.00593], [1.61503, 1.01056], [1.57631, 1.00683], [1.60008, 1.00622]])"
"((29.590043247687294, 32.79616904509699, -3.206125797409694), [[1.60954, 1.00649], [1.49867, 1.00593], [1.61503, 1.01056], [1.60414, 1.00668], [1.61503, 1.00604]])"
"((29.595263758062984, 32.52160602136905, -2.9263422633060685), [[1.60954, 1.00649], [1.49867, 1.00593], [1.61506, 1.01054], [1.57631, 1.00683], [1.60008, 1.00622]])"
"((27.4384842545845, 29.841576463907483, -2.4030922093229847), [[1.60954, 1.00649], [1.49867, 1.00593], [1.61506, 1.01054], [1.5443, 1.00661], [1.58619, 1.00606]])"
"((29.61997287654678, 32.7935634466311, -3.1735905700843183), [[1.60954, 1.00649], [1.49867, 1.00593], [1.61506, 1.01054], [1.60414, 1.00668], [1.61503, 1.00604]])"
"((26.412392616316986, 28.55290758256029, -2.1405149662433054), [[1.60954, 1.00649], [1.56101, 1.00594], [1.61503, 1.01056], [1.49552, 1.00497], [1.61503, 1.00604]])"
"((26.435775018534834, 28.550971864462596, -2.1151968459277626), [[1.60954, 1.00649], [1.56101, 1.00594], [1.61506, 1.01054], [1.49552, 1.00497], [1.61503, 1.00604]])"
"((36.08724746590513, 42.40977884142196, -6.3225313755168315), [[1.60954, 1.00649], [1.5204, 1.00668], [1.49867, 1.00593], [1.8365, 1.01938], [1.61503, 1.00604]])"
"((37.998516152314416, 57.20452036069327, -19.206004208378857), [[1.60954, 1.00649], [1.79609, 1.01763], [1.45446, 1.00345], [1.60414, 1.00668], [1.66578, 1.00854]])"
"((24.77640641412704, 26.25319698464461, -1.4767905705175686), [[1.58619, 1.00606], [1.50854, 1.00561], [1.59875, 1.00992], [1.51432, 1.00532], [1.60954, 1.00649]])"
"((24.11024408297281, 25.506713683338152, -1.396469600365343), [[1.58619, 1.00606], [1.51982, 1.00578], [1.59875, 1.00992], [1.49552, 1.00497], [1.60954, 1.00649]])"
"((23.538953288054064, 24.82299219937796, -1.284038911323897), [[1.58619, 1.00606], [1.50592, 1.00552], [1.59875, 1.00992], [1.49552, 1.00497], [1.60008, 1.00622]])"
"((24.318213213435925, 25.69120339805241, -1.3729901846164836), [[1.58619, 1.00606], [1.5443, 1.00661], [1.57723, 1.00902], [1.51982, 1.00578], [1.61503, 1.00604]])"
"((27.152652040190908, 29.683588636987498, -2.5309365967965896), [[1.58619, 1.00606], [1.5204, 1.00668], [1.59875, 1.00992], [1.57723, 1.00902], [1.64792, 1.00881]])"
"((23.98776943740863, 25.358425432812744, -1.370655995404114), [[1.58619, 1.00606], [1.59875, 1.00992], [1.54457, 1.00776], [1.51982, 1.00578], [1.61727, 1.00636]])"
"((102.67646844018712, -81.02804161601948, 183.70451005620657), [[1.56101, 1.00594], [1.8365, 1.01938], [1.50854, 1.00561], [1.60414, 1.00668], [1.79609, 1.01763]])"
"((26.21975895639074, 28.163219522981056, -1.9434605665903142), [[1.60008, 1.00622], [1.54965, 1.00561], [1.59875, 1.00992], [1.5204, 1.00668], [1.61727, 1.00636]])"
"((25.73082820674781, 27.567015818198325, -1.8361876114505158), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61503, 1.01056], [1.50592, 1.00552], [1.58619, 1.00606]])"
"((25.751486765977308, 27.56534062482394, -1.813853858846631), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61506, 1.01054], [1.50592, 1.00552], [1.58619, 1.00606]])"
"((25.00195607143727, 26.647352291527426, -1.6453962200901557), [[1.60008, 1.00622], [1.56949, 1.00633], [1.59875, 1.00992], [1.48534, 1.00465], [1.61503, 1.00604]])"
"((24.882954740829728, 26.54630343454864, -1.6633486937189126), [[1.60008, 1.00622], [1.5443, 1.00661], [1.59875, 1.00992], [1.49867, 1.00593], [1.60414, 1.00668]])"
"((26.34837902394591, 28.237429863676535, -1.8890508397306256), [[1.60008, 1.00622], [1.5204, 1.00668], [1.59875, 1.00992], [1.54965, 1.00561], [1.60954, 1.00649]])"
"((26.57188029779138, 28.57559525574182, -2.0037149579504394), [[1.60008, 1.00622], [1.54457, 1.00776], [1.57723, 1.00902], [1.57631, 1.00683], [1.61727, 1.00636]])"
"((25.190195692134285, 26.941251888074365, -1.7510561959400803), [[1.60008, 1.00622], [1.61503, 1.01056], [1.54457, 1.00776], [1.5443, 1.00661], [1.61727, 1.00636]])"
"((29.492904634838993, 33.02889674478817, -3.535992109949177), [[1.60008, 1.00622], [1.59875, 1.00992], [1.57723, 1.00902], [1.60157, 1.00865], [1.66578, 1.00854]])"
"((25.20218895742935, 26.940312870338172, -1.7381239129088222), [[1.60008, 1.00622], [1.61506, 1.01054], [1.54457, 1.00776], [1.5443, 1.00661], [1.61727, 1.00636]])"
"((27.41202174599895, 29.90234441540113, -2.4903226694021825), [[1.61727, 1.00636], [1.56575, 1.00649], [1.61503, 1.01056], [1.50854, 1.00561], [1.60954, 1.00649]])"
"((27.52963859592415, 29.988233347788462, -2.458594751864311), [[1.61727, 1.00636], [1.56575, 1.00649], [1.61503, 1.01056], [1.49867, 1.00593], [1.60414, 1.00668]])"
"((26.520369983953078, 28.752565489007235, -2.2321955050541575), [[1.61727, 1.00636], [1.56575, 1.00649], [1.61503, 1.01056], [1.50592, 1.00552], [1.60954, 1.00649]])"
"((27.43696880525176, 29.900237658357035, -2.4632688531052764), [[1.61727, 1.00636], [1.56575, 1.00649], [1.61506, 1.01054], [1.50854, 1.00561], [1.60954, 1.00649]])"
"((27.55446460812163, 29.986142228460036, -2.431677620338405), [[1.61727, 1.00636], [1.56575, 1.00649], [1.61506, 1.01054], [1.49867, 1.00593], [1.60414, 1.00668]])"
"((28.546030211418206, 31.19462946460988, -2.648599253191673), [[1.61727, 1.00636], [1.57631, 1.00683], [1.59875, 1.00992], [1.5443, 1.00661], [1.61503, 1.00604]])"
"((29.19204493533793, 32.19167383479245, -2.9996288994545175), [[1.61727, 1.00636], [1.5204, 1.00668], [1.61503, 1.01056], [1.58619, 1.00606], [1.60954, 1.00649]])"
"((27.31090047492318, 29.53483487753773, -2.2239344026145496), [[1.61727, 1.00636], [1.5204, 1.00668], [1.61506, 1.01054], [1.50592, 1.00552], [1.56949, 1.00633]])"
"((29.220709843676648, 32.18920075076872, -2.9684909070920718), [[1.61727, 1.00636], [1.5204, 1.00668], [1.61506, 1.01054], [1.58619, 1.00606], [1.60954, 1.00649]])"
"((25.707694312978038, 27.533080325991516, -1.8253860130134782), [[1.61727, 1.00636], [1.54457, 1.00776], [1.59875, 1.00992], [1.49867, 1.00593], [1.56949, 1.00633]])"
"((27.17715449136947, 29.515108969597037, -2.337954478227566), [[1.61727, 1.00636], [1.54457, 1.00776], [1.59875, 1.00992], [1.56101, 1.00594], [1.60008, 1.00622]])"
"((33.55387284449703, 46.78146044562385, -13.227587601126821), [[1.61727, 1.00636], [1.79609, 1.01763], [1.50592, 1.00552], [1.50854, 1.00561], [1.64792, 1.00881]])"
